PM2.5,NO2,PM10,NO,NOx,O3,tavg,AQI
135.92,36.89,435.2,19.63,49.31,58.36,35.3,282
60.27,44.07,143.86,15.17,109.71,58.07,27.8,298
52.2,51.7,78.64,12.97,109.52,53.72,28.3,175
67.92,52.69,127.38,11.17,131.9,53.94,31.2,217
65.95,53.39,128.93,25.82,152.12,42.58,29.7,234
47.68,46.71,95.1,26.94,173.98,35.79,27,188
29.08,51.39,41.31,31.49,254.8,54.03,25.5,253
32.29,32.77,34.16,12.34,117.79,40.41,25.5,198
36.68,37.71,54.36,12.21,105.59,37.7,29.9,148
44.48,43.46,112.83,13.94,94.25,46.71,31,141
63.79,38.05,243.97,30.37,89.67,52.2,33.4,218
77.2,36.72,244.69,22.06,102.35,72.44,31.8,268
77.99,42.07,148.95,13.99,128.36,61.43,30.9,232
71.11,48.79,148.87,24.83,149.07,56.32,29.6,204
67.39,52.87,144.11,23.65,155.27,59.05,30.1,220
49.58,62.37,83.22,16.89,196.68,61.55,29.1,223
40.97,46.3,78.76,12.25,151.32,46.98,31.5,218
38.97,41.41,85.89,19.43,132.19,44.49,32.2,165
34.02,39.98,81.25,11.59,116.55,49.72,32.1,155
46.13,43.99,94.49,9.1,146.4,47.11,32,154
46.01,42.86,97,10.2,141.1,45.9,31.3,184
29.81,30.66,86.01,8.06,106.81,40.73,30,150
22.82,33.21,53.28,10.02,113.43,36.65,29.7,125
24.69,40.25,51.98,10.03,127.68,38.49,29.5,160
29.04,35.69,56.7,12.18,126.64,35.89,28.6,142
25.76,32.96,47.91,13.51,105.81,26.26,29,181
37.85,35.9,122.18,27.39,119.1,36.57,28.9,196
41.32,35.14,126.33,29.5,139.85,41.27,28.4,181
47.81,37.96,123.24,40.08,165.43,46.38,29.8,213
56.02,40.17,154.28,28.95,129.29,45.97,31.6,175
54.46,46.74,136.88,19.25,142.99,56.88,31.2,184
59.13,52.78,117.08,25.28,164.51,54.66,29.9,228
65.47,52.51,126.56,24.45,205.02,60.57,29.8,214
64.58,48.24,154.92,19.7,202.11,68.17,29.4,254
70.05,50.51,149.92,21.3,200.34,62.76,28.8,258
55.51,39.47,105.17,31.18,167.5,45.4,27.5,244
82.27,45.46,140.54,50.39,225.79,61.52,30.5,209
77.04,49.43,137.74,31.89,215.75,62.67,28.4,283
52.45,45.71,87.66,17.96,138.01,55.37,30.5,223
61.66,52.76,116.55,47.8,189.02,80.63,31.9,205
65.67,50.96,159.75,25.2,194.75,69.27,30.8,252
51.4,44.4,91.81,15.68,157.69,44.93,28.4,198
55.71,48.39,93.33,37.6,187.78,44.79,28.6,197
61.84,44.41,134.2,28.12,148.85,45.05,30.7,184
60.65,56.15,126.2,18.21,133.24,48.86,29.3,197
34.42,36.47,124.17,28.15,119.94,38.86,31.5,140
40.83,32,210.86,32.66,72.35,42.13,30.8,232
50.97,35.87,214.05,42.48,84.88,57.47,29.4,271
46.74,40.28,149.06,26.74,61.52,52.48,30.1,207
44.67,33.76,138.12,21.72,52.07,33.94,29.9,127
37.39,44.61,108.4,31.1,68.41,38.73,30.7,123
52.06,39.88,222.39,21.93,56.22,44.9,32,175
57.52,37.85,236.94,24.24,55.54,40.43,31.9,245
61.47,40.41,237.68,32.28,74.7,56.61,32.4,248
77.76,50.74,206.22,12.44,57.41,64.07,32.2,247
68.53,49.3,260.48,35.03,91.78,65.56,32.3,292
57.85,39.84,230.76,28.21,71.42,62.61,32.7,266
51.67,32.53,220.14,24.52,57.84,60.73,32.2,288
73.78,27.42,230.34,17.83,45.7,61.33,32.2,210
97.63,29.16,318.24,31.64,66.15,72.47,31.9,298
99.5,35.31,278.36,33.04,67.05,72.94,31.4,315
97.31,41.7,284.54,50,90.18,71.5,31.9,368
76.43,29.5,201.89,24.24,52.24,56.59,31,266
61.69,27.81,168.63,17.36,41.56,49.32,31.3,174
55.19,35.49,179.42,27.91,61.81,52.24,31.5,199
63.79,38.36,219.51,25.93,60.12,61.95,31.8,217
58.48,36.2,195.05,20.38,55.36,68.21,31,238
60.29,42.1,184.78,20.95,59.79,68.49,31.5,230
67.35,46.81,181.99,16.4,56.83,68.81,30.9,218
87.55,54.45,178.57,20.95,67.44,69.36,32.3,226
84.57,45.36,171.76,16.76,54.12,64.05,32.2,202
111.58,60.71,236.34,22.48,75.63,79.29,31.8,274
108.78,56.31,217.16,14.94,63.58,75.63,33,289
91.18,46.44,190.99,8.55,42.94,69.61,32.5,235
104.85,60.96,250.21,23.06,73.86,85.86,31.6,285
56.19,43.3,129.11,14.26,48.2,48.8,31.1,209
67.62,49.83,125.24,19.82,58.37,51.78,30.4,132
64.38,62.73,141.89,20.17,62.49,58.49,29.1,179
45.65,62.69,109.7,14.64,56.18,48.02,30.2,136
35.75,38.78,70.38,12.73,41.5,39.83,30.1,104
34.89,31.17,101.42,16.55,43.75,37.26,28.7,95
63.06,39.16,187.9,40.7,72.85,48.78,28.2,175
82.39,45.09,222.71,53.19,89.84,53.1,28.4,290
